Type,T_MtoP,T_PtoI,T_ItoD,I_MtoP,I_PtoI,I_ItoD,M_MtoP,M_PtoI,M_ItoD,R_MtoP,R_PtoI,R_ItoD,P_MtoP,P_PtoI,P_ItoD
4,0,0.78490597,0.741655767,0.97974211,0.992528856,0.994564056,0.338685006,0.085374594,0.754891872,0.421273232,0.106760472,0.739254355,0.354424119,0.109277934,0.757735908
4,0,0.784726799,0.748927951,0.979973793,0.992550373,0.994583309,0.338888764,0.085259438,0.754802346,0.420893729,0.106371731,0.739231229,0.353906721,0.108917415,0.757770956
4,0,0.784701943,0.755744338,0.980233252,0.992578924,0.994608462,0.339083523,0.085149184,0.754716575,0.420227259,0.105719924,0.739199519,0.353848875,0.108676821,0.757715464
4,0,0.783636808,0.759558737,0.980422854,0.992618084,0.994640231,0.342599362,0.084268153,0.753488719,0.419844598,0.10506621,0.739086986,0.353926659,0.108433723,0.757621229
4,0,0.782702267,0.761413574,0.98066318,0.992663503,0.994676888,0.34826836,0.083378255,0.751668334,0.420223653,0.104222864,0.738690972,0.353724152,0.107982397,0.757539034
4,0,0.781506538,0.762541592,0.980849385,0.992711723,0.994714558,0.352496237,0.081966162,0.750059903,0.420962155,0.102882504,0.738020003,0.354091287,0.107413977,0.757266164
4,0,0.779971838,0.764573872,0.981001079,0.992752552,0.994746864,0.358780473,0.080029488,0.747702658,0.421586871,0.101161063,0.737250566,0.354743659,0.106559247,0.756825149
4,0,0.777818799,0.771560788,0.981184661,0.99279958,0.994783461,0.365892828,0.077685922,0.744958758,0.422675729,0.099061847,0.736214638,0.35548234,0.105385721,0.75625819
4,0,0.776375771,0.777928889,0.981296659,0.992838502,0.994813383,0.371303469,0.075004607,0.742557645,0.42486912,0.096455991,0.734678864,0.356133103,0.103978276,0.755639553
4,0,0.774821639,0.783326149,0.981415451,0.992873788,0.994841039,0.377219886,0.072420061,0.74002856,0.426948547,0.093707025,0.733121037,0.358414978,0.101772189,0.754317641
4,0,0.773109376,0.785216212,0.981495917,0.992902517,0.994863033,0.384823322,0.069681644,0.736943483,0.429797351,0.090902925,0.731311679,0.360974371,0.099324435,0.752834082
4,0,0.77204603,0.786191225,0.981507242,0.992912769,0.994870543,0.390031278,0.066854388,0.734490812,0.433221489,0.087985218,0.72928369,0.364210308,0.096773058,0.751123786
4,0,0.77158159,0.788458467,0.981523514,0.992927253,0.994881392,0.395997643,0.064341515,0.731907904,0.437258214,0.084598392,0.726893842,0.36556232,0.095162928,0.750236452
4,0,0.771927238,0.791039467,0.981537044,0.992937028,0.994888604,0.400692612,0.061522335,0.729571283,0.441388607,0.081372261,0.724520743,0.368429899,0.092943519,0.748723865
4,0,0.772479236,0.792200267,0.981552184,0.992948472,0.994897187,0.405880123,0.058749795,0.727089047,0.444913685,0.07778123,0.72218442,0.371059895,0.090771526,0.747287333
4,0,0.772886753,0.795115232,0.981564283,0.992963552,0.994908273,0.410190582,0.056325257,0.724973679,0.448487103,0.07402125,0.719757915,0.373883486,0.088376194,0.745713949
4,0,0.77349329,0.79911834,0.981576622,0.993000567,0.994935155,0.414042681,0.053933293,0.722993433,0.4525581,0.0707739,0.717349648,0.376884103,0.085754395,0.74400878
4,0,0.774361551,0.805537283,0.981583953,0.993041098,0.99496454,0.418222368,0.051633805,0.720934331,0.456498086,0.068160415,0.715197921,0.381125927,0.082894474,0.741865158
4,0,0.775591612,0.817825973,0.981563568,0.99309957,0.995006621,0.423425823,0.049194187,0.718500376,0.460384786,0.065818459,0.713149846,0.385460824,0.080342531,0.739786685
4,0,0.776332378,0.831673324,0.981521845,0.993145466,0.995039403,0.427962661,0.047100753,0.716377437,0.464109033,0.063807607,0.711262465,0.390742332,0.077871799,0.737448931
4,0,0.777448714,0.842502594,0.981422305,0.993195117,0.995073676,0.431517988,0.045456111,0.714706659,0.467971146,0.061840743,0.709338188,0.394290388,0.075971395,0.735786915
4,0,0.778304935,0.850081503,0.981270373,0.993246496,0.995108604,0.434362799,0.044137716,0.713363886,0.470510542,0.059589207,0.707715869,0.398008823,0.07426846,0.734135509
4,0,0.779505372,0.854830086,0.98108381,0.993305206,0.99514848,0.436698586,0.043053746,0.712258339,0.47366637,0.057753772,0.706042111,0.401251256,0.072502106,0.732593715
4,0,0.780113041,0.854773045,0.980934858,0.99331826,0.995155394,0.438658029,0.042143464,0.711327851,0.476501882,0.056425065,0.704655588,0.405922055,0.070598304,0.730576277
4,0,0.781827033,0.856163263,0.980721235,0.993323445,0.995156407,0.443158329,0.040973514,0.709506989,0.477799207,0.055103987,0.703755975,0.408650249,0.069188684,0.729291737
4,0,0.784905434,0.862534642,0.980424464,0.993331194,0.995157599,0.447877407,0.03999573,0.707679152,0.479610592,0.053604424,0.702621162,0.411489904,0.067804515,0.72797817
4,0,0.788095176,0.869914174,0.980097771,0.993355572,0.995170534,0.450927049,0.039220721,0.70644182,0.481598198,0.052106529,0.7014274,0.41495499,0.066175103,0.726379633
4,0,0.790445805,0.877773583,0.979715407,0.993390918,0.995190918,0.453144312,0.038173646,0.705361962,0.483421862,0.050717443,0.700323761,0.418639958,0.064600497,0.724726558
4,0,0.792564988,0.884032607,0.979308784,0.993443429,0.995223701,0.45519352,0.037172735,0.704348087,0.485087693,0.049227178,0.699230194,0.421873182,0.063293427,0.723296165
4,0,0.794291139,0.8917377,0.978799701,0.99353534,0.995283604,0.456468672,0.0363864,0.703656793,0.486337334,0.047971249,0.698357463,0.424656987,0.062048733,0.722017467
4,0,0.79575026,0.901106477,0.978139699,0.993609846,0.995328963,0.457748234,0.035542309,0.702941775,0.487345755,0.047023833,0.697675288,0.426909685,0.060986519,0.720957816
4,0,0.796676278,0.904996276,0.97747767,0.993688285,0.995377541,0.458915025,0.0347628,0.702283859,0.488386273,0.046078622,0.696983039,0.428533971,0.060057372,0.720131993
4,0,0.797030807,0.907419086,0.976876497,0.993755102,0.995418429,0.459793627,0.03416124,0.701782286,0.489380777,0.045140117,0.696307361,0.430102408,0.05933556,0.719393611
4,0,0.797175169,0.908264279,0.976287484,0.993776977,0.995426595,0.460427582,0.033671737,0.701401472,0.490154326,0.044363588,0.695763648,0.431133568,0.058695883,0.718848705
4,0,0.796860039,0.909985781,0.975821376,0.993795991,0.995434463,0.461100101,0.033179849,0.701006055,0.490699172,0.043886364,0.695408165,0.431889296,0.058229536,0.718448818
4,0,0.796634912,0.91182071,0.975372434,0.993791699,0.995425284,0.461736679,0.032705158,0.700628102,0.491409391,0.04313606,0.69489336,0.432462335,0.057893038,0.718150854
4,0,0.796523929,0.912878692,0.975031376,0.993790209,0.995419681,0.462248027,0.032277703,0.700306654,0.4919447,0.042641699,0.694532931,0.433179557,0.057516128,0.717793703
4,0,0.796307445,0.913874626,0.974635124,0.993778765,0.99540627,0.462828517,0.031828582,0.699954689,0.492454797,0.042141974,0.69417721,0.433765888,0.057168037,0.717486918
4,0,0.795973957,0.914453506,0.974152863,0.993797898,0.995414674,0.463259697,0.031491756,0.699693441,0.493030518,0.041679025,0.693814814,0.43434763,0.056828648,0.717183411
4,0,0.795722246,0.914389491,0.973649979,0.993813634,0.995419562,0.463707745,0.031155646,0.699425578,0.493543744,0.041246086,0.693482935,0.434891045,0.056571096,0.716921926
4,0,0.79548955,0.914153576,0.973163307,0.99382478,0.995421171,0.464276075,0.030728877,0.699084401,0.494083107,0.040667653,0.693086743,0.435465872,0.056290001,0.71664077
4,0,0.795151651,0.914243579,0.972686768,0.993809342,0.995404243,0.464854032,0.030315816,0.69874531,0.494686127,0.04017356,0.692700744,0.435977876,0.055991322,0.716373324
4,0,0.794920802,0.913176119,0.972367406,0.993801177,0.995394588,0.465526581,0.029949874,0.698392928,0.495794624,0.039459407,0.692062616,0.436540306,0.055679172,0.716086745
4,0,0.794786632,0.91241622,0.971961915,0.993788242,0.995380282,0.466648221,0.029574692,0.697890818,0.496965855,0.03882888,0.691435218,0.437666208,0.055161178,0.715549588
4,0,0.794700801,0.911008537,0.971597612,0.993763387,0.995357454,0.467805237,0.029204011,0.697379112,0.498731256,0.038195252,0.690607786,0.438397527,0.054841846,0.71520704
4,0,0.795258105,0.907377839,0.971216917,0.993738472,0.995334208,0.468834937,0.028873593,0.69692421,0.500488639,0.037584364,0.68979001,0.439876139,0.054389566,0.714580834
4,0,0.795748949,0.905029774,0.970834196,0.993716657,0.99531281,0.470032871,0.028455019,0.696379066,0.501998186,0.036906928,0.689026475,0.440958232,0.054028541,0.714112401
4,0,0.796382368,0.902711093,0.97046423,0.993700922,0.995296597,0.47115609,0.028140992,0.695896506,0.503660858,0.036310673,0.688241661,0.44192943,0.053610176,0.713654578
4,0,0.797100484,0.900036454,0.970103204,0.993686318,0.995280683,0.472150296,0.02786231,0.695469856,0.505267918,0.036450803,0.687760055,0.443916857,0.053158492,0.712862134
4,0,0.797842205,0.897011936,0.969793081,0.993674994,0.995268524,0.47304064,0.027612537,0.695087373,0.506686032,0.036813498,0.687426865,0.444357246,0.053026229,0.712674856
4,0,0.798836529,0.891680121,0.969561517,0.993655205,0.995251119,0.473835498,0.027389854,0.694744706,0.508016825,0.037400544,0.687208772,0.444532156,0.052976549,0.712601721
4,0,0.799774647,0.888160586,0.969378114,0.993619859,0.99522239,0.474906236,0.027304143,0.694363475,0.509415805,0.037523925,0.686787069,0.444742203,0.052993,0.712542295
4,0,0.800905526,0.886223793,0.969182909,0.993594766,0.995201349,0.476293921,0.027393609,0.693944037,0.5112378,0.037725806,0.686253369,0.445528179,0.053017646,0.712303638
4,0,0.801501989,0.885102749,0.969050944,0.993567646,0.995179355,0.477716595,0.027366906,0.693467736,0.513522148,0.038230807,0.685678959,0.446675569,0.052973539,0.711926401
4,0,0.802041888,0.884737432,0.96893388,0.993534625,0.995153427,0.478964806,0.027343273,0.69304955,0.515330672,0.038795352,0.685288787,0.449579746,0.052970767,0.711014688
4,0,0.803302228,0.884213746,0.968805254,0.993506014,0.995130241,0.480058074,0.02732265,0.692682505,0.516264498,0.039116323,0.685097456,0.451156139,0.053095669,0.710567534
4,0,0.805374444,0.884137392,0.968688667,0.993488014,0.995115459,0.48101759,0.027304322,0.692360699,0.516643524,0.03903386,0.684936643,0.451929986,0.053157866,0.710344791
4,0,0.806927919,0.884447694,0.968559742,0.993469179,0.995099962,0.481878906,0.027288288,0.692070484,0.517368257,0.039179683,0.684747338,0.453288674,0.053048134,0.709870934
4,0,0.808828831,0.885782778,0.968399644,0.993447602,0.995082021,0.482643485,0.027273297,0.691814244,0.517723441,0.039117157,0.68460089,0.455076098,0.053024381,0.709291458
